ua
"Mozilla/5.0 (Linux; Android 10; LRA-AL00 Build/HONORLRA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20241101 MMWEBID/4380 MicroMessenger/8.0.54.2760(0x28003636) WeChat/arm64 Weixin NetType/4G Language/zh_CN ABI/arm64"
"Mozilla/5.0 (Linux; Android 15; PHZ110 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/129.0.6668.70 Mobile Safari/537.36 os/android model/PHZ110 build/8150400 osVer/15 sdkInt/35 network/1 BiliApp/8150400 mobi_app/android channel/oppo Buvid/XU0EB5E0F8BCA40ECE2F7C12C87B60B82A704 sessionID/26c1be19 innerVer/8150410 c_locale/zh_CN s_locale/zh_CN disable_rcmd/0 themeId/1 sh/40"
"Mozilla/5.0 (Linux; Android 10; JNY-LX1; HMSCore 6.14.0.321) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.196 HuaweiBrowser/15.0.4.312 Mobile Safari/537.36"
Dalvik/2.1.0 (Linux; U; Android 12; GFY-AL00 Build/HUAWEIGFY-AL00)
Dalvik/2.1.0 (Linux; U; Android 14; PGFM10 Build/UKQ1.231108.001)
Dalvik/2.1.0 (Linux; U; Android 11; RTE-AL00 Build/HUAWEIRNA-AL00)
Dalvik/2.1.0 (Linux; U; Android 14; V2244 Build/UP1A.231005.007)
Dalvik/2.1.0 (Linux; U; Android 13; 23054RA19C Build/TP1A.220624.014)
Dalvik/2.1.0 (Linux; U; Android 13; V2072A Build/TP1A.220624.014)
"Mozilla/5.0 (iPad; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile"
"Mozilla/5.0 (Linux; U; Android 14; zh-CN; RMX3708 Build/UP1A.231005.007) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.4896.58 Quark/7.5.1.691 Mobile Safari/537.36"
"Mozilla/5.0 (Linux; U; Android 13; zh-cn; M2012K10C Build/TP1A.220624.014) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.6261.119 Mobile Safari/537.36 XiaoMi/MiuiBrowser/18.7.921118"
Dalvik/2.1.0 (Linux; U; Android 10; V2099A Build/QP1A.190711.020)
Dalvik/2.1.0 (Linux; U; Android 12; M2105K81C Build/SKQ1.220303.001)
Dalvik/2.1.0 (Linux; U; Android 8.1; DW99 Build/OPM2.171019.012)
"Mozilla/5.0 (Linux; Android 14; 23078RKD5C Build/UP1A.230905.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/120.0.6099.193 Mobile Safari/537.36"
Dalvik/2.1.0 (Linux; U; Android 11; RMX2071 Build/RKQ1.200710.002)
Dalvik/2.1.0 (Linux; U; Android 9; TAS-AL00 Build/PQ3B.190801.03191204)
"Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6723.108 Mobile Safari/537.36"
"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko)  Mobile/15E148 wxwork/4.1.31 MicroMessenger/7.0.1 Language/zh ColorScheme/Light wwmver/3.26.14.632"
"Mozilla/5.0 (Linux; Android 12; RMX3560 Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20241101 MMWEBID/5220 MicroMessenger/8.0.54.2760(0x28003636) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64"
"Mozilla/5.0 (iPhone; CPU iPhone OS 14_4_2 like Mac OS X) AppleWebKit/610.4.3.0.5 (KHTML, like Gecko) Mobile/18D70 BiliApp/77100100 os/ios model/iPhone 8 mobi_app/iphone build/77100100 osVer/14.4.2 network/1 channel/AppStore Buvid/Z047ED048442777E489A81475172EBFEA6A3 c_locale/zh-Hans_CN s_locale/zh-Hans_CN sessionID/814a3755 disable_rcmd/0"
Dalvik/2.1.0 (Linux; U; Android 9.0; S5 Build/PKQ1.190319.001)
"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/130.0.2849.80 Version/17.0 Mobile/15E148 Safari/604.1"
"Mozilla/5.0 (Linux; U; Android 14; zh-cn; PJV110 Build/SP1A.210812.016) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/115.0.5790.168 Mobile Safari/537.36 HeyTapBrowser/40.8.40.1"
"Mozilla/5.0 (Linux; Android 13; PDSM00 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.102 Mobile Safari/537.36 XWEB/1300073 MMWEBSDK/20240802 MMWEBID/2145 MicroMessenger/8.0.53.2740(0x28003533) WeChat/arm64 Weixin NetType/WIFI Language/zh_CN ABI/arm64"
Dalvik/2.1.0 (Linux; U; Android 15; SM-S9310 Build/AP3A.240905.015.A2)
